799889580001962TAVG-9999   -9999   -9999   -9999    -320  f -880  f-1030  f -930  f -930  f -360  f -320  f  -40  f
799889580001963TAVG    0  f   30  f -360  f -740  f -560  f -780  f-1030  f-1900  f-1050  f -880  f -250  f   80  f
799889580001964TAVG  100  f    0  f -240  f -770  f -940  f-1170  f -600  f-2010  f -970  f -320  f -110  f    0  f
799889580001965TAVG   90  f   70  f  110  f -330  f -390  f -740  f-1300  f-1220  f -570  f -890  f -210  f  -80  f
799889580001966TAVG   20  f  -30  f -180  f -570  f -610  f -880  f-1600  f-1200  f-1040  f -670  f -210  f  -60  f
799889580001967TAVG    0  f -200  f -150  f -280  f -860  f -800  f -820  f -860  f -990  f -750  f -380  f    0  f
799889580001968TAVG    0  f  -70  f -150  f -150  f -540  f-1070  f -820  f-1320  f-1240  f -560  f -330  f  -20  f
799889580001969TAVG   30  f  -80  f -500  f -640  f-1230  f-1820  f-1570  f-1100  f -590  f -890  f -360  f   60  f
799889580001970TAVG  -20  f  -80  f -200  f -840  f -850  f -890  f -520  f-1110  f -370  f -240  f  -60  f   80  f
799889580001971TAVG  160  f   30  f  -20  f -200  f -520  f -320  f -580  f -690  f -560  f -250  f -150  f   70  f
799889580001972TAVG  210  f  120  f  -60  f -270  f -370  f -700  f -520  f-1050  f -590  f -400  f -230  f   60  f
799889580001973TAVG  -80  f  -20  f -200  f -650  f -840  f-1000  f -870  f -640  f -710  f -410  f -150  f   30  f
799889580001974TAVG  100  f  130  f   50  f -380  f -510  f -350  f -800  f -760  f -930  f -280  f -110  f  110  f
799890570001979TAVG  180  f  140  f  110  f  -40  f -330  f -500  f -420  f -600  f -360  f -280  f -140  f   60  f
799890570001980TAVG  110  f  140  f  -80  f -460  f -340  f -650  f-1270  f-1110  f -830  f -330  f -290  f   20  f
799890570001981TAVG   60  f  140  f  -30  f  -70  f -340  f -430  f -460  f -970  f -510  f -460  f -150  f   70  f
799890570001982TAVG  220  f  190  f   60  f  -10  f  -90  f -290  f -720  f -570  f -480  f -370  f -130  f   60  f
799890570001983TAVG  120  f  110  f   40  f  -40  f -350  f -480  f -450  f -300  f -440  f -260  f  -60  f   80  f
799890570001984TAVG   80  f  150  f  100  f -170  f -540  f -470  f -440  f -400  f -170  f -320  f  -40  f  110  f
799890570001985TAVG  200  f  160  f  -90  f  -90  f -380  f -400  f -290  f -370  f -200  f -160  f   40  f  100  f
799890570001986TAVG  110  f  100  f  100  f -210  f -800  f -730  f -770  f -730  f -590  f -260  f -240  f  -10  f
799890570001987TAVG   70  f  130  f   40  f -300  f -480  f -720  f-1370  f -560  f -680  f -250  f  -10  f   90  f
799890570001988TAVG  140  f-9999      10  f -100  f -190  f-9999   -9999   -9999   -9999    -310  f -200  f  -10  f
799890570001989TAVG-9999     200  f  210  f -450  f -110  f -220  f -110  f -250  f -300  f  -80  f  -20  f   80  f
799890570001990TAVG  220  f  270  f  120  f -410  f -470  f -440  f -550  f -550  f -350  f -240  f -120  f   30  f
799890570001991TAVG  180  f   60  f  -70  f -230  f-9999    -880  f -700  f -740  f-9999    -380  f-9999   -9999   
